product_name,product_code,category_main,category_mid,category_sub,full_path,price_original,price_discounted,brand,discount_pct,price_anomaly,ever_purchased
Lionesse Star Sabitleme Fırçası 4114,119768,Makyaj,,Makyaj Aksesuarları,Makyaj > Makyaj Aksesuarları,224.61,145.99,Lionesse,35.0,False,False
Lionesse Saç Fırçası 6602,110474,Saç Bakım,Saç Aksesuarları,Tarak ve Fırça,Saç Bakım > Saç Aksesuarları >Tarak ve Fırça,224.66,146.02,Lionesse,35.0,False,False
Lionesse Saç Fırçası Maze 6452,107548,Saç Bakım,Saç Aksesuarları,Tarak ve Fırça,Saç Bakım > Saç Aksesuarları >Tarak ve Fırça,224.81,146.12,Lionesse,35.0,False,False
Neutrogena Visibly Renew El Kremi 75 Ml,76608,Kişisel Bakım,,El Bakım,Kişisel Bakım > El Bakım,224.92,134.95,Neutrogena,40.0,False,False
Neutrogena Hydro Boost Jel El Kremi 75 Ml,109382,Kişisel Bakım,,El Bakım,Kişisel Bakım > El Bakım,224.92,134.95,Neutrogena,40.0,False,False
Garnier Hyaluronik Gül Jel Krem 50 Ml,111591,Cilt Bakım,Nemlendirici,Gündüz Kremi,Cilt Bakım > Nemlendirici > Gündüz Kremi,224.92,132.7,Garnier Cilt,41.0,False,False
Bepanthol Cilt Bakım Kremi 30 Gr,106335,Kişisel Bakım,Vücut Bakım,Nemlendirici Krem,Kişisel Bakım > Vücut Bakım > Nemlendirici Krem,224.92,168.69,Bepanthol,25.0,False,False
Bepanthol Onarıcı Bakım Merhemi 30 Gr,110406,Kişisel Bakım,Vücut Bakım,Nemlendirici Krem,Kişisel Bakım > Vücut Bakım > Nemlendirici Krem,224.92,168.69,Bepanthol,25.0,False,False
Bepanthol Pişik Önleyici Merhem 30 Gr,104792,Bebek,Bebek Bakım Ürünleri,Pişik Kremi,Bebek > Bebek Bakım Ürünleri > Pişik Kremi,224.92,168.69,Bepanthol,25.0,False,False
Pantene Saç Bakım Yağı Keratin Özlü Onarıcı E Vitaminli 100 Ml,78990,Saç Bakım,Saç Bakım Ürünleri,Saç Bakım Yağları,Saç Bakım > Saç Bakım Ürünleri > Saç Bakım Yağları,224.92,125.95,Pantene,44.0,False,False
Pantene 7'si 1 Arada Ağırlaştırmayan Sprey Yağ 100 Ml,111577,Saç Bakım,Saç Bakım Ürünleri,Saç Bakım Yağları,Saç Bakım > Saç Bakım Ürünleri > Saç Bakım Yağları,224.92,123.71,Pantene,45.0,False,False
Pantene Hindistan Cevizi Özlü Yağ 100 Ml,111578,Saç Bakım,Saç Bakım Ürünleri,Saç Bakım Yağları,Saç Bakım > Saç Bakım Ürünleri > Saç Bakım Yağları,224.92,123.71,Pantene,45.0,False,False
